Cluster number,HOUSEHOLD number,Number of HOUSEHOLD members,Number of eligible women in HH,Number of eligible men in HH,Number of de jure members,Number of de facto members,Number of children 5 and under,Region,Type of place of residence,Place of residence,Cluster altitude in meters,Source of drinking water,Time to get to water source,Type of toilet facility,Has electricity,Has radio,Has television,Has refrigerator,Main floor material,Main wall material,Main roof material,Rooms used for sleeping,Has a landline telephone,Share toilet with other households,Type of cooking fuel,Have bednet for sleeping,Anything done to water to make safe to drink,Water usually treated by: boil,Water usually treated by: add bleach/chlorine,Water usually treated by: strain through a cloth,Water usually treated by: use water filter,Water usually treated by: solar disinfection,Water usually treated by: let it stand and settle,Water usually treated by: other,Number of households sharing toilet,Wealth index,Wealth index factor score (5 decimals),Mainland/Zanzibar,Who provides water at main source,Paraffin lamp,Iron,Main source of energy for lighting,How far is the nearest market place (kilometers),How many meals per day,How far is the nearest health facility
1,55,5,1,0,5,5,2,Dodoma,Urban,Town,1016,Open public well,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Iron sheets,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-78000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
1,60,10,4,0,10,9,4,Dodoma,Urban,Town,1016,Spring,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-107000,Mainland urban, ,No,No,Paraffin-wick lamp,38,1,1
1,64,1,0,0,1,1,0,Dodoma,Urban,Town,1016,Open public well,60,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-100000,Mainland urban, ,No,No,Paraffin-wick lamp,38,2,1
1,69,1,0,0,1,1,0,Dodoma,Urban,Town,1016,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-103000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
1,74,3,1,0,3,2,0,Dodoma,Urban,Town,1016,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-72000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
1,78,4,1,1,4,4,0,Dodoma,Urban,Town,1016,Spring,30,Flush - to pit latrine,No,No,No,No,Cement,Sun-dried bricks,Iron sheets,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,59000,Mainland urban, ,Yes,Yes,Paraffin-hurricane lamp,38,2,1
1,83,2,0,0,2,2,0,Dodoma,Urban,Town,1016,River/dam/lake/ponds/stream/canal/irirgation channel,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-95000,Mainland urban, ,No,No,Paraffin-wick lamp,38,1,1
1,87,4,0,0,4,4,2,Dodoma,Urban,Town,1016,River/dam/lake/ponds/stream/canal/irirgation channel,45,Pit latrine - without slab / open pit,No,No,No,No,Cement,OTHER,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Middle,-23000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
1,92,7,1,2,7,7,2,Dodoma,Urban,Town,1016,Open public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Sun-dried bricks,Iron sheets,2,No,No,Wood,Yes,Yes,No,No,No,No,No,Yes,No, ,Richer,1000,Mainland urban, ,No,No,Paraffin-wick lamp,38,2,1
1,97,5,1,0,5,5,1,Dodoma,Urban,Town,1016,Spring,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,4,Poorest,-108000,Mainland urban, ,No,No,Paraffin-wick lamp,38,1,1
1,101,4,1,0,4,4,2,Dodoma,Urban,Town,1016,Spring,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Poorest,-86000,Mainland urban, ,No,No,Paraffin-wick lamp,37,1,1
2,2,11,3,0,9,11,3,Dodoma,Urban,Small city,1117,Piped into dwelling,15,Flush - to pit latrine,No,No,No,No,Cement,Sun-dried bricks,Iron sheets,2,No,No,Charcoal,Yes,No,No,No,No,No,No,No,No, ,Richest,108000,Mainland urban,Private Operator,No,Yes,Paraffin-hurricane lamp,3,3,3
2,7,3,1,1,3,3,1,Dodoma,Urban,Small city,1117,Neighbour tap,6,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Cement blocks,Iron sheets,1,No,Yes,Charcoal,Yes,No,No,No,No,No,No,No,No,8,Richest,94000,Mainland urban, ,Yes,Yes,Paraffin-hurricane lamp,4,2,4
2,11,1,1,0,1,1,0,Dodoma,Urban,Small city,1117,Neighbour tap,5,Pit latrine - ventilated improved pit (VIP),No,No,No,No,Cement,Cement blocks,Iron sheets,1,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,7,Richest,113000,Mainland urban, ,Yes,Yes,Paraffin-hurricane lamp,4,2,4
2,16,6,1,0,5,6,1,Dodoma,Urban,Small city,1117,Piped into dwelling,0,Flush - to pit latrine,No,No,No,No,Cement,Sun-dried bricks,Iron sheets,3,No,No,Charcoal,Yes,Yes,Yes,No,Yes,No,No,No,No, ,Richest,105000,Mainland urban,Authority,No,Yes,Paraffin-hurricane lamp,3,3,3
2,20,4,1,1,4,4,1,Dodoma,Urban,Small city,1117,Neighbour tap,20,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,1,No,No,Charcoal,Yes,No,No,No,No,No,No,No,No, ,Richer,-2000,Mainland urban, ,Yes,No,Paraffin-hurricane lamp,3,3,3
2,25,1,0,0,1,1,0,Dodoma,Urban,Small city,1117,Neighbour tap,10,Pit latrine - without slab / open pit,Yes,No,No,No,Cement,Sun-dried bricks,Iron sheets,1,No,Yes,Charcoal,No,Yes,No,No,No,No,No,Yes,No,4,Richer,26000,Mainland urban, ,No,No,Paraffin-wick lamp,3,3,3
2,29,4,0,0,4,4,2,Dodoma,Urban,Small city,1117,Neighbour tap,20,Flush - to pit latrine,No,Yes,No,No,Cement,Sun-dried bricks,Iron sheets,2,No,No,Charcoal,Yes,No,No,No,No,No,No,No,No, ,Richer,64000,Mainland urban, ,No,No,Paraffin-presuure lamp,3,2,3
2,34,2,1,0,2,2,0,Dodoma,Urban,Small city,1117,Piped to yard/plot,0,Flush - to pit latrine,No,Yes,No,No,"Earth, sand, dung",Cement blocks,Iron sheets,1,No,Yes,Charcoal,Yes,No,No,No,No,No,No,No,No,2,Richer,53000,Mainland urban,Authority,No,No,Paraffin-wick lamp,4,2,4
2,38,6,2,0,5,6,0,Dodoma,Urban,Small city,1117,Neighbour tap,30,Pit latrine - ventilated improved pit (VIP),No,No,No,No,Cement,Sun-dried bricks,Iron sheets,3,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,2,Richer,52000,Mainland urban, ,No,Yes,Paraffin-hurricane lamp,5,3,2
2,43,6,1,0,6,5,2,Dodoma,Urban,Small city,1117,Neighbour tap,15,Pit latrine - ventilated improved pit (VIP),No,No,No,No,Cement,Sun-dried bricks,Iron sheets,1,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,2,Richer,37000,Mainland urban, ,Yes,No,Paraffin-hurricane lamp,4,3,1
2,47,7,3,0,7,7,1,Dodoma,Urban,Small city,1117,Neighbour tap,20,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No, ,Charcoal,No,No,No,No,No,No,No,No,No, ,Richer,-17000,Mainland urban, ,No,No,Paraffin-wick lamp,4,2,1
2,52,4,1,0,4,4,1,Dodoma,Urban,Small city,1117,Neighbour tap,15,Pit latrine - without slab / open pit,No,No,No,No,Cement,Sun-dried bricks,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,2000,Mainland urban, ,No,No,Paraffin-wick lamp,3,2,1
2,56,7,5,0,7,7,1,Dodoma,Urban,Small city,1117,Piped into dwelling,0,Flush - to pit latrine,No,Yes,No,No,"Earth, sand, dung",Cement blocks,Iron sheets,4,No,No,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No, ,Richest,114000,Mainland urban,Authority,Yes,Yes,Paraffin-hurricane lamp,3,3,1
2,61,4,2,1,2,4,0,Dodoma,Urban,Small city,1117,Piped to yard/plot,0,Flush - to pit latrine,Yes,Yes,Yes,No,Cement,Cement blocks,Iron sheets,2,No,Yes,Charcoal,Yes,No,No,No,No,No,No,No,No,4,Richest,185000,Mainland urban,Private Operator,No,No,Electricity,4,3,4
2,65,1,1,0,1,1,0,Dodoma,Urban,Small city,1117,Neighbour tap,5,Flush - to pit latrine,Yes,Yes,No,No,Cement,Cement blocks,Iron sheets,1,No,Yes,Kerosene,Yes,Yes,Yes,No,No,No,No,No,No,9,Richest,172000,Mainland urban, ,No,No,Electricity,3,2,3
2,70,2,0,0,2,2,0,Dodoma,Urban,Small city,1117,Piped to yard/plot,0,Pit latrine - ventilated improved pit (VIP),No,Yes,No,No,Cement,Sun-dried bricks,Iron sheets,2,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,2,Richest,97000,Mainland urban,Authority,Yes,Yes,Paraffin-hurricane lamp,4,2,4
