,house_number,households_number,households_women,households_men,households_children,region,residence_type,residence_type,drink_water_source,time_water_source,toilet_type,electricity,radio,tv,refrigerator,floor_material,wall_material,roof_material,sleeping_room,landline,share_toilet,cooking_fuel_type,bednet,treat_water,water_boil,water_bleach,water_strain,water_filter,water_solar,water_settle,water_other,house_share_toilet,wealth_index,wealth_index_score,location,water_provider,paraffin_lamp,iron,lighting_source,distance_market,meals_day,distance_health
74,33,2,1,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-92000,Mainland rural, ,No,No,Other,77,2,10
75,91,6,1,1,2,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,240,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-92000,Mainland rural, ,No,No,Other,77,2,10
76,110,6,1,0,2,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-101000,Mainland rural, ,No,No,Firewood,77,2,10
77,148,7,0,0,0,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,240,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-83000,Mainland rural, ,No,No,Other,77,2,4
78,167,5,1,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No,Yes,Wood,No,No,No,No,No,No,No,No,No,4,Poorest,-99000,Mainland rural, ,No,No,Paraffin-wick lamp,88,2,9
79,187,7,1,0,2,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,2,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-96000,Mainland rural, ,No,No,Firewood,88,2,8
80,206,3,1,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-88000,Mainland rural, ,No,No,Firewood,89,2,8
81,225,2,1,0,0,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,160,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-97000,Mainland rural, ,No,No,Firewood,88,2,9
82,244,3,1,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-99000,Mainland rural, ,No,No,Other,88,2,9
83,263,6,1,1,2,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,60,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-87000,Mainland rural, ,Yes,No,Firewood,88,2,9
84,302,3,1,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,60,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-91000,Mainland rural, ,No,No,Firewood,89,2,8
85,321,5,1,1,0,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,3,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,5,Poorer,-66000,Mainland rural, ,No,No,Other,88,2,8
86,340,6,1,0,2,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-101000,Mainland rural, ,No,No,Firewood,88,2,13
87,359,1,0,0,0,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,600,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-95000,Mainland rural, ,No,No,Firewood,77,2,10
88,398,4,0,0,0,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,240,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-89000,Mainland rural, ,No,No,Firewood,88,2,10
89,417,8,1,0,3,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-93000,Mainland rural, ,No,No,Firewood,88,2,8
90,5,6,1,0,1,Dodoma,Rural,Countryside,Open public well,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-62000,Mainland rural, ,No,No,Paraffin-wick lamp,53,2,2
91,21,4,0,0,0,Dodoma,Rural,Countryside,Open public well,240,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Middle,-43000,Mainland rural, ,Yes,No,Paraffin-wick lamp,53,3,2
92,37,3,0,0,0,Dodoma,Rural,Countryside,Open public well,60,Pit latrine - with slab,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Middle,-49000,Mainland rural, ,No,No,Paraffin-wick lamp,52,3,2
93,45,7,1,0,2,Dodoma,Rural,Countryside,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Cement blocks,Iron sheets,3,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Middle,-44000,Mainland rural, ,No,No,Paraffin-wick lamp,51,3,3
94,53,5,1,0,2,Dodoma,Rural,Countryside,Spring,10,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,1,No,Yes,Wood,Yes,Yes,Yes,No,No,No,No,No,No,2,Middle,-50000,Mainland rural, ,No,No,Paraffin-wick lamp,52,2,2
95,77,2,1,0,0,Dodoma,Rural,Countryside,Open public well,60,Pit latrine - with slab,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,1,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Middle,-27000,Mainland rural, ,No,Yes,Paraffin-wick lamp,52,3,2
96,85,3,0,0,1,Dodoma,Rural,Countryside,Open public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No,No,Wood,No,Yes,Yes,No,No,No,No,No,No, ,Poorer,-80000,Mainland rural, ,No,No,Other,53,2,2
97,118,7,1,0,1,Dodoma,Rural,Countryside,Open public well,180,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Baked bricks,Iron sheets,4,No,No,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No, ,Richer,71000,Mainland rural, ,Yes,Yes,Paraffin-hurricane lamp,53,3,3
98,126,4,0,0,1,Dodoma,Rural,Countryside,Open public well,25,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Middle,-48000,Mainland rural, ,No,No,Paraffin-wick lamp,51,2,2
99,134,6,1,1,3,Dodoma,Rural,Countryside,Spring,20,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Poorer,-80000,Mainland rural, ,No,No,Paraffin-wick lamp,56,3,4
100,142,6,1,0,3,Dodoma,Rural,Countryside,Open public well,60,Pit latrine - with slab,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Middle,-51000,Mainland rural, ,No,No,Paraffin-wick lamp,52,3,2
101,150,3,0,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,10,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Richer,-4000,Mainland rural,9,Yes,No,Paraffin-hurricane lamp,51,3,2
102,158,5,2,1,1,Dodoma,Rural,Countryside,Open public well,30,Pit latrine - with slab,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,4,No,No,Wood,Yes,Yes,No,Yes,No,No,No,No,No, ,Middle,-57000,Mainland rural, ,No,No,Paraffin-wick lamp,51,3,2
103,166,5,1,0,0,Dodoma,Rural,Countryside,Open public well,10,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,Yes, ,Middle,-35000,Mainland rural, ,No,No,Paraffin-hurricane lamp,51,2,2
104,174,4,1,0,2,Dodoma,Rural,Countryside,Open public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Baked bricks,Iron sheets,3,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Richer,28000,Mainland rural, ,Yes,Yes,Paraffin-hurricane lamp,51,3,4
105,15,5,1,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,240,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-71000,Mainland rural,Authority,No,No,Paraffin-wick lamp,2,3,0
106,22,6,2,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,120,Pit latrine - without slab / open pit,Yes,Yes,No,No,Cement,OTHER,Iron sheets,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,70000,Mainland rural,Private Operator,Yes,No,Electricity,2,2,1
107,30,8,2,0,2,Dodoma,Rural,Countryside,Public tap/standpipe,180,Flush - to pit latrine,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,3,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Richer,-1000,Mainland rural,Authority,Yes,No,Paraffin-hurricane lamp,2,3,0
108,67,8,2,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,160,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,OTHER,Iron sheets,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,2000,Mainland rural,Authority,Yes,No,Paraffin-hurricane lamp,4,2,3
109,75,4,0,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,240,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,3,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Middle,-55000,Mainland rural,Authority,No,No,Paraffin-wick lamp,2,2,1
110,82,4,0,1,0,Dodoma,Rural,Countryside,Public tap/standpipe,180,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,3,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Middle,-46000,Mainland rural,Authority,No,No,Paraffin-wick lamp,2,3,1
111,98,4,0,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,120,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Middle,-25000,Mainland rural,Private Operator,Yes,No,Paraffin-hurricane lamp,2,3,1
112,105,3,1,1,1,Dodoma,Rural,Countryside,Cart with small tank,120,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Sun-dried bricks,Iron sheets,1,No,No,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No, ,Richer,33000,Mainland rural, ,Yes,No,Paraffin-wick lamp,3,3,0
113,120,5,1,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,120,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Cement blocks,Iron sheets,2,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Richer,58000,Mainland rural,Private Operator,Yes,Yes,Paraffin-hurricane lamp,2,1,0
114,128,5,1,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,120,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,-16000,Mainland rural,Authority,Yes,No,Paraffin-hurricane lamp,2,2,3
115,136,4,1,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,45,Pit latrine - ventilated improved pit (VIP),No,Yes,No,No,Cement,Sun-dried bricks,Iron sheets,4,No,No,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No, ,Richest,82000,Mainland rural,9,Yes,Yes,Paraffin-hurricane lamp,2,3,0
116,143,4,0,0,0,Dodoma,Rural,Countryside,Cart with small tank,0,Flush - to pit latrine,Yes,Yes,No,No,Cement,Sun-dried bricks,Iron sheets,3,No,No,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No, ,Richest,161000,Mainland rural, ,Yes,No,Electricity,2,3,0
117,165,5,1,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No,No,Wood,No,Yes,Yes,No,No,No,No,No,No, ,Poorer,-64000,Mainland rural,Authority,No,No,Paraffin-wick lamp,2,3,0
118,104,9,1,1,3,Dodoma,Rural,Countryside,Protected public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-25000,Mainland rural, ,Yes,Yes,Other,150,2,1
119,145,3,1,1,1,Dodoma,Rural,Countryside,Public tap/standpipe,20,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-19000,Mainland rural,Authority,Yes,Yes,Paraffin-hurricane lamp,150,3,0
120,159,4,1,0,1,Dodoma,Rural,Countryside,Protected public well,20,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-66000,Mainland rural, ,No,No,Paraffin-wick lamp,17,2,0
121,173,5,1,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-56000,Mainland rural,Authority,No,No,Paraffin-wick lamp,150,3,0
122,186,2,0,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,4,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Middle,-55000,Mainland rural,Authority,No,No,Paraffin-wick lamp,150,3,0
123,200,5,1,0,1,Dodoma,Rural,Countryside,Open public well,40,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-96000,Mainland rural, ,No,No,Paraffin-wick lamp,150,2,3
124,214,3,1,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,15,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Poorer,-77000,Mainland rural, ,No,No,Other,150,2,2
125,227,8,1,1,3,Dodoma,Rural,Countryside,Public tap/standpipe,45,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-85000,Mainland rural,Authority,No,No,Paraffin-wick lamp,150,2,2
126,241,5,1,0,1,Dodoma,Rural,Countryside,Protected public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-72000,Mainland rural, ,No,No,Other,150,2,1
127,254,4,1,0,2,Dodoma,Rural,Countryside,Protected public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-66000,Mainland rural, ,No,No,Paraffin-wick lamp,150,2,1
128,282,4,1,0,2,Dodoma,Rural,Countryside,Protected public well,15,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-95000,Mainland rural, ,No,No,Paraffin-wick lamp,150,2,0
129,295,4,1,0,1,Dodoma,Rural,Countryside,Protected public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-76000,Mainland rural, ,No,No,Other,150,2,1
130,26,8,1,0,3,Dodoma,Rural,Countryside,Spring,180,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,4,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-74000,Mainland rural, ,No,No,Other,27,3,0
131,121,8,2,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-89000,Mainland rural, ,No,No,Other,26,3,0
132,140,2,0,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-91000,Mainland rural, ,No,No,Paraffin-wick lamp,27,2,2
133,197,9,2,0,4,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,120,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Middle,-55000,Mainland rural, ,No,No,Paraffin-wick lamp,26,3,0
134,216,5,1,0,2,Dodoma,Rural,Countryside,Spring,180,No facility/bush/field,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-99000,Mainland rural, ,No,No,Paraffin-wick lamp,26,2,0
135,234,3,1,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,120,No facility/bush/field,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-94000,Mainland rural, ,No,No,Firewood,26,2,0
136,272,4,1,0,2,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,30,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Sun-dried bricks,Iron sheets,2,No,No,Charcoal,Yes,No,No,No,No,No,No,No,No, ,Richer,78000,Mainland rural, ,Yes,No,Paraffin-hurricane lamp,26,3,0
137,291,4,1,0,2,Dodoma,Rural,Countryside,Open public well,90,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-84000,Mainland rural, ,No,No,Other,28,2,2
138,310,2,1,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-86000,Mainland rural, ,No,No,Paraffin-wick lamp,27,3,2
139,329,6,0,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,80,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,5,Poorest,-88000,Mainland rural, ,No,No,Firewood,26,2,1
140,348,4,1,0,2,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,120,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,1,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-79000,Mainland rural, ,No,No,Paraffin-wick lamp,26,3,0
141,367,4,1,1,2,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,60,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,1,No, ,Wood,Yes,Yes,No,No,No,No,No,Yes,No, ,Poorer,-80000,Mainland rural, ,No,No,Paraffin-wick lamp,27,2,2
142,386,3,1,0,0,Dodoma,Rural,Countryside,Open public well,90,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,3,No,Yes,Straw / shrubs / grass,Yes,No,No,No,No,No,No,No,No,3,Poorest,-88000,Mainland rural, ,No,No,Paraffin-wick lamp,26,2,2
143,405,6,1,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,60,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Poles and mud,Grass/thatch/mud,2,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-99000,Mainland rural, ,No,No,Firewood,26,2,5
144,6,4,1,0,1,Dodoma,Rural,Countryside,Protected public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-76000,Mainland rural, ,No,No,Paraffin-wick lamp,44,2,2
145,19,5,1,0,2,Dodoma,Rural,Countryside,Protected public well,60,Pit latrine - with slab,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-55000,Mainland rural, ,No,No,Paraffin-wick lamp,46,2,0
146,39,3,1,0,0,Dodoma,Rural,Countryside,Protected public well,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Iron sheets,4,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-73000,Mainland rural, ,No,No,Paraffin-wick lamp,43,2,0
147,59,8,1,0,1,Dodoma,Rural,Countryside,Protected public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,5,No,No,Charcoal,Yes,No,No,No,No,No,No,No,No, ,Richer,17000,Mainland rural, ,Yes,No,Paraffin-hurricane lamp,44,3,0
148,111,3,0,1,0,Dodoma,Rural,Countryside,Public tap/standpipe,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,No,No,No,No,No,No,No,No,No,4,Poorest,-86000,Mainland rural,Authority,No,No,Paraffin-wick lamp,43,2,1
149,125,6,1,0,2,Dodoma,Rural,Countryside,Protected public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Middle,-38000,Mainland rural, ,Yes,No,Paraffin-hurricane lamp,46,3,0
150,131,7,1,1,3,Dodoma,Rural,Countryside,Protected public well,60,No facility/bush/field,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,-1000,Mainland rural, ,Yes,Yes,Paraffin-hurricane lamp,43,3,0
151,138,3,1,0,0,Dodoma,Rural,Countryside,Protected public well,180,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-56000,Mainland rural, ,No,No,Paraffin-wick lamp,45,2,1
152,144,11,3,0,3,Dodoma,Rural,Countryside,Protected public well,180,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-83000,Mainland rural, ,No,No,Paraffin-wick lamp,43,2,0
153,18,7,1,0,2,Dodoma,Rural,Countryside,Protected public well,240,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,5,Poorest,-95000,Mainland rural, ,No,No,Paraffin-wick lamp,26,2,4
154,89,5,1,0,2,Dodoma,Rural,Countryside,Protected public well,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-70000,Mainland rural, ,No,No,Paraffin-wick lamp,23,2,0
155,112,9,2,0,1,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,180,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-44000,Mainland rural, ,No,Yes,Paraffin-wick lamp,26,3,0
156,160,6,1,0,2,Dodoma,Rural,Countryside,Public tap/standpipe,120,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Iron sheets,3,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-70000,Mainland rural,CBO/NGO,No,No,Paraffin-wick lamp,26,2,3
157,171,13,3,0,3,Dodoma,Rural,Countryside,Spring,180,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-90000,Mainland rural, ,No,No,Firewood,26,3,4
158,183,7,1,0,0,Dodoma,Rural,Countryside,Protected public well,180,No facility/bush/field,No,No,No,No,"Earth, sand, dung",OTHER,Iron sheets,3,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorer,-64000,Mainland rural, ,No,No,Other,26,2,4
