,house_number,households_number,households_women,households_men,households_children,region,residence_type,residence_type,drink_water_source,time_water_source,toilet_type,electricity,radio,tv,refrigerator,floor_material,wall_material,roof_material,sleeping_room,landline,share_toilet,cooking_fuel_type,bednet,treat_water,water_boil,water_bleach,water_strain,water_filter,water_solar,water_settle,water_other,house_share_toilet,wealth_index,wealth_index_score,location,water_provider,paraffin_lamp,iron,lighting_source,distance_market,meals_day,distance_health
18,92,7,1,2,2,Dodoma,Urban,Town,Open public well,60,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Sun-dried bricks,Iron sheets,2,No,No,Wood,Yes,Yes,No,No,No,No,No,Yes,No, ,Richer,1000,Mainland urban, ,No,No,Paraffin-wick lamp,38,2,1
19,97,5,1,0,1,Dodoma,Urban,Town,Spring,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,4,Poorest,-108000,Mainland urban, ,No,No,Paraffin-wick lamp,38,1,1
20,101,4,1,0,2,Dodoma,Urban,Town,Spring,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Poorest,-86000,Mainland urban, ,No,No,Paraffin-wick lamp,37,1,1
21,2,11,3,0,3,Dodoma,Urban,Small city,Piped into dwelling,15,Flush - to pit latrine,No,No,No,No,Cement,Sun-dried bricks,Iron sheets,2,No,No,Charcoal,Yes,No,No,No,No,No,No,No,No, ,Richest,108000,Mainland urban,Private Operator,No,Yes,Paraffin-hurricane lamp,3,3,3
22,7,3,1,1,1,Dodoma,Urban,Small city,Neighbour tap,6,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Cement blocks,Iron sheets,1,No,Yes,Charcoal,Yes,No,No,No,No,No,No,No,No,8,Richest,94000,Mainland urban, ,Yes,Yes,Paraffin-hurricane lamp,4,2,4
23,11,1,1,0,0,Dodoma,Urban,Small city,Neighbour tap,5,Pit latrine - ventilated improved pit (VIP),No,No,No,No,Cement,Cement blocks,Iron sheets,1,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,7,Richest,113000,Mainland urban, ,Yes,Yes,Paraffin-hurricane lamp,4,2,4
24,16,6,1,0,1,Dodoma,Urban,Small city,Piped into dwelling,0,Flush - to pit latrine,No,No,No,No,Cement,Sun-dried bricks,Iron sheets,3,No,No,Charcoal,Yes,Yes,Yes,No,Yes,No,No,No,No, ,Richest,105000,Mainland urban,Authority,No,Yes,Paraffin-hurricane lamp,3,3,3
25,20,4,1,1,1,Dodoma,Urban,Small city,Neighbour tap,20,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,1,No,No,Charcoal,Yes,No,No,No,No,No,No,No,No, ,Richer,-2000,Mainland urban, ,Yes,No,Paraffin-hurricane lamp,3,3,3
26,25,1,0,0,0,Dodoma,Urban,Small city,Neighbour tap,10,Pit latrine - without slab / open pit,Yes,No,No,No,Cement,Sun-dried bricks,Iron sheets,1,No,Yes,Charcoal,No,Yes,No,No,No,No,No,Yes,No,4,Richer,26000,Mainland urban, ,No,No,Paraffin-wick lamp,3,3,3
27,29,4,0,0,2,Dodoma,Urban,Small city,Neighbour tap,20,Flush - to pit latrine,No,Yes,No,No,Cement,Sun-dried bricks,Iron sheets,2,No,No,Charcoal,Yes,No,No,No,No,No,No,No,No, ,Richer,64000,Mainland urban, ,No,No,Paraffin-presuure lamp,3,2,3
28,34,2,1,0,0,Dodoma,Urban,Small city,Piped to yard/plot,0,Flush - to pit latrine,No,Yes,No,No,"Earth, sand, dung",Cement blocks,Iron sheets,1,No,Yes,Charcoal,Yes,No,No,No,No,No,No,No,No,2,Richer,53000,Mainland urban,Authority,No,No,Paraffin-wick lamp,4,2,4
29,38,6,2,0,0,Dodoma,Urban,Small city,Neighbour tap,30,Pit latrine - ventilated improved pit (VIP),No,No,No,No,Cement,Sun-dried bricks,Iron sheets,3,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,2,Richer,52000,Mainland urban, ,No,Yes,Paraffin-hurricane lamp,5,3,2
30,43,6,1,0,2,Dodoma,Urban,Small city,Neighbour tap,15,Pit latrine - ventilated improved pit (VIP),No,No,No,No,Cement,Sun-dried bricks,Iron sheets,1,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,2,Richer,37000,Mainland urban, ,Yes,No,Paraffin-hurricane lamp,4,3,1
31,47,7,3,0,1,Dodoma,Urban,Small city,Neighbour tap,20,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No, ,Charcoal,No,No,No,No,No,No,No,No,No, ,Richer,-17000,Mainland urban, ,No,No,Paraffin-wick lamp,4,2,1
32,52,4,1,0,1,Dodoma,Urban,Small city,Neighbour tap,15,Pit latrine - without slab / open pit,No,No,No,No,Cement,Sun-dried bricks,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,2000,Mainland urban, ,No,No,Paraffin-wick lamp,3,2,1
33,56,7,5,0,1,Dodoma,Urban,Small city,Piped into dwelling,0,Flush - to pit latrine,No,Yes,No,No,"Earth, sand, dung",Cement blocks,Iron sheets,4,No,No,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No, ,Richest,114000,Mainland urban,Authority,Yes,Yes,Paraffin-hurricane lamp,3,3,1
34,61,4,2,1,0,Dodoma,Urban,Small city,Piped to yard/plot,0,Flush - to pit latrine,Yes,Yes,Yes,No,Cement,Cement blocks,Iron sheets,2,No,Yes,Charcoal,Yes,No,No,No,No,No,No,No,No,4,Richest,185000,Mainland urban,Private Operator,No,No,Electricity,4,3,4
35,65,1,1,0,0,Dodoma,Urban,Small city,Neighbour tap,5,Flush - to pit latrine,Yes,Yes,No,No,Cement,Cement blocks,Iron sheets,1,No,Yes,Kerosene,Yes,Yes,Yes,No,No,No,No,No,No,9,Richest,172000,Mainland urban, ,No,No,Electricity,3,2,3
36,70,2,0,0,0,Dodoma,Urban,Small city,Piped to yard/plot,0,Pit latrine - ventilated improved pit (VIP),No,Yes,No,No,Cement,Sun-dried bricks,Iron sheets,2,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,2,Richest,97000,Mainland urban,Authority,Yes,Yes,Paraffin-hurricane lamp,4,2,4
37,79,4,1,0,1,Dodoma,Urban,Small city,Neighbour tap,10,Pit latrine - ventilated improved pit (VIP),No,No,No,No,Cement,Sun-dried bricks,Iron sheets,2,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,2,Richer,57000,Mainland urban, ,Yes,No,Paraffin-hurricane lamp,4,3,1
38,88,3,0,1,0,Dodoma,Urban,Small city,Piped into dwelling,0,Flush - to septic tank,Yes,No,No,No,Cement,Cement blocks,Iron sheets,3,No,Yes,Charcoal,Yes,Yes,Yes,No,No,No,No,No,No,5,Richest,195000,Mainland urban,Authority,Yes,Yes,Electricity,4,3,4
39,12,6,1,0,2,Dodoma,Rural,Countryside,Public tap/standpipe,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Middle,-27000,Mainland rural,Authority,Yes,No,Paraffin-hurricane lamp,51,3,3
40,57,8,2,1,1,Dodoma,Rural,Countryside,Public tap/standpipe,60,Pit latrine - without slab / open pit,Yes,Yes,No,No,Cement,Baked bricks,Iron sheets,3,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Richest,95000,Mainland rural,CBO/NGO,Yes,Yes,Solar,52,3,3
41,68,4,0,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,90,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Baked bricks,Iron sheets,2,No,No,Wood,No,Yes,Yes,No,No,No,No,No,No, ,Richer,36000,Mainland rural,Authority,Yes,Yes,Paraffin-hurricane lamp,51,2,3
42,90,8,1,1,2,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-20000,Mainland rural, ,Yes,No,Paraffin-hurricane lamp,56,3,4
43,113,2,0,0,0,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,30,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No, ,Charcoal,No,No,No,No,No,No,No,No,No, ,Middle,-33000,Mainland rural, ,No,No,Paraffin-wick lamp,54,2,4
44,124,5,1,1,3,Dodoma,Rural,Countryside,Spring,120,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Baked bricks,Iron sheets,1,9,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,25000,Mainland rural, ,Yes,No,Solar,54,3,4
45,135,5,1,0,2,Dodoma,Rural,Countryside,Neighbour open well,60,Pit latrine - without slab / open pit,No,No,No,No,Cement,Baked bricks,Iron sheets,3,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Middle,-24000,Mainland rural, ,No,No,Paraffin-wick lamp,51,2,2
46,146,3,0,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,40,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,2,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Poorer,-66000,Mainland rural,Authority,No,No,Paraffin-wick lamp,50,2,2
47,157,8,2,1,3,Dodoma,Rural,Countryside,River/dam/lake/ponds/stream/canal/irirgation channel,90,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-47000,Mainland rural, ,Yes,No,Paraffin-wick lamp,51,3,3
48,169,4,1,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,20,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,3,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Middle,-43000,Mainland rural,Authority,No,No,Paraffin-wick lamp,52,3,3
49,180,2,0,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,20,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,1,No,No,Wood,No,Yes,Yes,No,No,No,No,No,No, ,Poorer,-68000,Mainland rural,Authority,No,No,Paraffin-wick lamp,50,1,3
50,191,4,1,1,2,Dodoma,Rural,Countryside,Open public well,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,1,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-43000,Mainland rural, ,No,No,Paraffin-hurricane lamp,51,3,2
51,202,1,0,0,0,Dodoma,Rural,Countryside,Spring,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,1,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Poorer,-70000,Mainland rural, ,No,No,Paraffin-wick lamp,52,3,3
52,213,2,0,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-86000,Mainland rural,Authority,No,No,Firewood,52,2,3
53,224,3,0,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,45,Pit latrine - with slab,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,-3000,Mainland rural,Authority,Yes,No,Paraffin-hurricane lamp,52,3,4
54,236,5,0,0,0,Dodoma,Rural,Countryside,Spring,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,3,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Middle,-24000,Mainland rural, ,Yes,No,Paraffin-hurricane lamp,51,2,3
55,246,3,1,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,2,No,Yes,Wood,Yes,Yes,Yes,No,No,No,No,No,No,2,Middle,-50000,Mainland rural,Authority,No,No,Paraffin-wick lamp,51,3,3
56,42,2,1,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-58000,Mainland rural,Authority,No,No,Paraffin-wick lamp,37,3,11
57,72,4,1,1,2,Dodoma,Rural,Countryside,Public tap/standpipe,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-89000,Mainland rural,CBO/NGO,No,No,Paraffin-wick lamp,37,3,11
58,102,9,2,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Baked bricks,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-82000,Mainland rural,Authority,No,No,Paraffin-wick lamp,37,2,11
59,117,10,2,1,2,Dodoma,Rural,Countryside,Public tap/standpipe,120,Pit latrine - with slab,No,Yes,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,3,No,No,99,Yes,No,No,No,No,No,No,No,No, ,Richer,24000,Mainland rural,Authority,Yes,Yes,Firewood,37,3,11
60,132,3,1,0,1,Dodoma,Rural,Countryside,Public tap/standpipe,40,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,3,Poorer,-63000,Mainland rural,CBO/NGO,Yes,No,Paraffin-wick lamp,37,3,11
61,147,3,0,0,0,Dodoma,Rural,Countryside,Public tap/standpipe,40,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,3,No,No,Wood,No,No,No,No,No,No,No,No,No, ,Poorer,-58000,Mainland rural,Authority,No,No,Paraffin-wick lamp,37,3,11
62,162,3,1,1,1,Dodoma,Rural,Countryside,Public tap/standpipe,60,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Baked bricks,Iron sheets,1,No, ,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-62000,Mainland rural,Authority,No,No,Paraffin-wick lamp,37,3,11
63,178,4,1,0,2,Dodoma,Rural,Countryside,Public tap/standpipe,20,Pit latrine - without slab / open pit,No,Yes,No,No,Cement,Baked bricks,Iron sheets,1,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Richer,-3000,Mainland rural,Authority,Yes,No,Paraffin-wick lamp,37,3,11
